PG.ProteinGroups,PG.Genes,PG.Organisms,[1] oecf4_20240822_Exp61_LTED_DMSO_rep1_full.raw.PG.Quantity,[2] oecf4_20240822_Exp61_LTED_DMSO_rep2_full.raw.PG.Quantity,[3] oecf4_20240822_Exp61_LTED_DMSO_rep3_full.raw.PG.Quantity,[4] oecf4_20240822_Exp61_LTED_inh_rep1_full.raw.PG.Quantity,[5] oecf4_20240822_Exp61_LTED_inh_rep2_full.raw.PG.Quantity,[6] oecf4_20240822_Exp61_LTED_inh_rep3_full.raw.PG.Quantity,[7] oecf4_20240822_Exp61_TAMR_DMSO_rep1_full.raw.PG.Quantity,[8] oecf4_20240822_Exp61_TAMR_DMSO_rep2_full.raw.PG.Quantity,[9] oecf4_20240822_Exp61_TAMR_DMSO_rep3_full.raw.PG.Quantity,[10] oecf4_20240822_Exp61_TAMR_inh_rep1_full.raw.PG.Quantity,[11] oecf4_20240822_Exp61_TAMR_inh_rep2_full.raw.PG.Quantity,[12] oecf4_20240822_Exp61_TAMR_inh_rep3_full.raw.PG.Quantity,[13] oecf4_20240822_Exp61_WT_DMSO_rep1_full.raw.PG.Quantity,[14] oecf4_20240822_Exp61_WT_DMSO_rep2_full.raw.PG.Quantity,[15] oecf4_20240822_Exp61_WT_DMSO_rep3_full.raw.PG.Quantity,[16] oecf4_20240822_Exp61_WT_inh_rep1_full.raw.PG.Quantity,[17] oecf4_20240822_Exp61_WT_inh_rep2_full.raw.PG.Quantity,[18] oecf4_20240822_Exp61_WT_inh_rep3_full.raw.PG.Quantity
A0A024RBG1,NUDT4B,Homo sapiens,217349.578125,258761.15625,99902.4375,283908.71875,284014.6875,96392.828125,236489.03125,201266.28125,200968.65625,201604.15625,228015.5625,318171.8125,281756.8125,119583.5,93296.9921875,242619.8125,177469.84375,89539.71875
A0A096LP01,SMIM26,Homo sapiens,96581.234375,88957.703125,112850.078125,87457.125,114366.6796875,75468.390625,101954.4296875,90078.0390625,95244.9609375,103355.4375,102460.6640625,120860.953125,132937.109375,79889.34375,88181.7734375,116235.8984375,104629.6015625,85896.0078125
A0A0B4J2D5;P0DPI2,GATD3B;GATD3,Homo sapiens,8642660,8998073,6389793,8032595,10151640,5963916,5298657.5,4928073,5557830,5316850.5,5163287,7845879.5,6751794.5,5241521,4333756.5,6941932,5779415.5,4603223.5
A0A0B4J2F0,PIGBOS1,Homo sapiens,40962.73046875,39353.2734375,NaN,47572.48828125,39063.27734375,26426.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A0U1RQS6,TMEM275,Homo sapiens,1397.8865966796875,2579.76416015625,1889.5733642578125,2659.991455078125,2356.3994140625,NaN,2706.777587890625,NaN,2286.5009765625,1767.4554443359375,2699.193603515625,1601.6688232421875,3326.63916015625,2043.2222900390625,1621.7413330078125,3657.119873046875,2516.6923828125,2297.105224609375
A0A0U1RRE5,NBDY,Homo sapiens,3673.847900390625,5140.55078125,2517.05517578125,4076.84033203125,5191.5927734375,2322.69189453125,3953.048828125,6614.48486328125,NaN,2939.697021484375,3417.966552734375,3111.129150390625,2483.804443359375,3121.859375,3940.57763671875,2544.553955078125,NaN,NaN
A0A0U1RRL7,MMP24OS,Homo sapiens,19340.68359375,16188.3017578125,15820.533203125,15620.572265625,23825.9921875,NaN,15102.474609375,16795.25,14454.4462890625,19309.892578125,15393.7548828125,NaN,NaN,14156.095703125,10939.54296875,13644.228515625,16892.78515625,11723.7109375
A0A1W2PQ72,MSANTD7,Homo sapiens,6178.33837890625,6830.275390625,NaN,5551.4287109375,8514.3916015625,6549.41796875,13111.93359375,16445.5546875,11514.783203125,16558.572265625,12961.306640625,18296.560546875,22319.267578125,14306.4423828125,18150.0078125,20221.048828125,18293.53125,16241.4375
A0A2R8Y4Y8,OOSP4B,Homo sapiens,NaN,NaN,NaN,NaN,NaN,19320.43359375,NaN,23732.470703125,33768,17060.537109375,28049.078125,40688.74609375,NaN,36399.08984375,22709.8828125,NaN,31080.7890625,NaN
A0A2R8Y7D0,TINCR,Homo sapiens,6599.99365234375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32313.251953125,31021.23046875,17394.79296875,46940.29296875,24738.90234375,NaN
A0A3B3IU46;Q9BTL3,RAMACL;RAMAC,Homo sapiens,NaN,36769.66015625,NaN,144804.53125,30082.2265625,NaN,88888.171875,NaN,32580.1484375,NaN,NaN,NaN,41432.94140625,47046.890625,NaN,84103.9765625,48990.4296875,NaN
A0A590UK10;Q6ZSZ5,ARHGEF18,Homo sapiens,72917.25,68431.3359375,32297.01171875,67535.390625,76571.171875,70711.0234375,48243.9375,74464.15625,65657.9609375,NaN,37236.98828125,39862.5625,96344.8515625,52886.8984375,50152.60546875,114008.359375,97915.21875,36543.421875
A0A6Q8PGL7,,Homo sapiens,NaN,NaN,NaN,NaN,26847.583984375,NaN,NaN,NaN,21885.517578125,15549.0693359375,NaN,22964,28387.669921875,25660.216796875,NaN,35402.1484375,NaN,NaN
A0AV96,RBM47,Homo sapiens,457903.53125,472777.65625,402568.3125,443621.78125,467307.625,311377.75,319181.71875,338963,342248.78125,279895.59375,305876.03125,416501.5,571191.25,422152.875,378074.40625,576362.0625,477154.03125,414544.84375
A0AVF1,TTC26,Homo sapiens,76557.484375,77120.6796875,70099.0625,71830.6328125,93450.5546875,70234.3359375,68850.453125,69759.2890625,89001.84375,66441.6015625,67460.6015625,99001.90625,93529.5078125,80670.9921875,70968.8671875,94109.75,76773.5078125,78759.4609375
A0AVI2,FER1L5,Homo sapiens,21671.033203125,15129.0341796875,NaN,24690.576171875,NaN,NaN,33969.08984375,NaN,NaN,NaN,67472.953125,124291.625,231206.453125,NaN,NaN,264051.03125,NaN,47221.30859375
A0AVT1,UBA6,Homo sapiens,2604268.75,2695906.5,2078120.875,2360709.25,2863977,1835509.75,1853141.125,1704979,1929246.375,1689274,1925046.375,2454478.75,3233192.75,2404175.75,2282190.5,3196070,2624331,2071127
A0FGR8,ESYT2,Homo sapiens,767293.25,771948.875,648247.25,720594.1875,866045.375,558338.4375,1159623.5,1061351.875,1139026.375,1066487.25,1126657.75,1462702.75,1647497.5,1202988.625,1130837.625,1546961.375,1294397,989812.3125
A0JLT2,MED19,Homo sapiens,348979.375,535870.1875,NaN,306236.21875,339577.71875,175805.40625,303530.5,267795.375,329824.375,313411.53125,314440.9375,436309.875,378068.125,322771.6875,285047.46875,416043.5625,302755.09375,326011.65625
A0JNW5,BLTP3B,Homo sapiens,43504.609375,51380.0859375,32914.23828125,48570.484375,57823.53125,36130.15625,78466.015625,69640.8125,89846.2265625,64292.84375,80436.1875,98641.140625,77994.8984375,53655.1015625,50126.48828125,75454.6015625,68214.90625,57609.171875
A0MZ66,SHTN1,Homo sapiens,1586352.125,1811515.75,1367571.75,1757963.25,1846116,1407367.625,787329.875,787017.8125,742287.8125,824217.625,864747.125,917175.125,1942418.75,1420751.75,1337544.75,1794113.75,1482262.625,1179187.625
A0PJW6,TMEM223,Homo sapiens,350175.71875,383376.09375,499852.21875,361856.0625,410827.71875,298494.65625,207769.8125,190447.03125,204323.625,182462.015625,187933.484375,221307.046875,300854.8125,243687.515625,197287.125,255793.1875,236830.1875,199420.96875
A0PK00,TMEM120B,Homo sapiens,35605.21484375,35491.609375,NaN,28459.06640625,46589.40234375,20490.287109375,26242.171875,22747.412109375,31897.9296875,21457.259765625,28536.638671875,39026.67578125,34249.765625,23477.9140625,19760.6328125,30540.6328125,25216.345703125,13968.478515625
A1A4S6,ARHGAP10,Homo sapiens,2863337.75,3091018.75,3211048.25,2763950.25,3625488,2276424.25,1679787.375,1665449.625,2198437.5,1578237.875,1610141.25,2488639.75,2031291.125,1814722.875,1417579,2084738.25,1809597.125,1574409.625
A1L020,MEX3A,Homo sapiens,69144.03125,68551.578125,54793.8671875,54366.48046875,60195.15234375,64484.4453125,92951.3515625,102315.3515625,123633.515625,103340.1796875,125695.484375,141542.953125,142257.015625,98282.3359375,107515.4453125,195439.921875,93803.578125,60575.15234375
A1L0T0,ILVBL,Homo sapiens,1630507.875,1710577.625,1417193.375,1570153,1802546.625,1025953.4375,675684.4375,669165.8125,672247.5,663577.625,680047.875,889259,1212588.375,895275.5,943769.5,1056560.875,967441.625,803050.875
A1L170,C1orf226,Homo sapiens,27516.181640625,26146.66015625,NaN,24597.650390625,35442.89453125,34555.6953125,NaN,NaN,NaN,NaN,NaN,NaN,55058.43359375,38859.046875,41506.1640625,57364.93359375,39863.453125,31029.20703125
A1L390,PLEKHG3,Homo sapiens,257759.078125,281828.46875,220701.03125,282891.5,318274.8125,207978.15625,144568.75,128448.734375,153511.78125,125471.0859375,140646.515625,190324.109375,206060.140625,184281.90625,156725.71875,203915.75,177537.578125,154524.265625
A1L3X0,ELOVL7,Homo sapiens,176834.328125,117158.5078125,77891.796875,182978.71875,134773.9375,130778.765625,182982.375,135997.234375,132258.0625,124101.921875,88386.8671875,151618.859375,133449.375,100687.9453125,86564.421875,121773.59375,59250.1640625,80470.15625
A1X283,SH3PXD2B,Homo sapiens,206780.859375,217506.609375,175103.390625,210264.296875,218570.71875,150681.78125,129497.0625,93829.40625,65985.4765625,84448.1015625,82608.1015625,104187.59375,220840.265625,201635.5,185357.25,219117.625,186689.078125,165837.796875
A2RRP1,NBAS,Homo sapiens,350982.71875,354465.15625,332125.625,317730.875,394192.71875,278005.3125,243747.796875,240356.28125,281069.40625,250033.421875,225756.828125,310270.125,522778.1875,404443.125,370302.59375,528528.1875,453857.65625,389706.78125
A2RTX5,TARS3,Homo sapiens,353513.09375,309781.40625,299823.0625,317701.875,381110.84375,208666.75,273980.71875,304502.03125,355459.5625,334798.65625,295690.46875,412762.34375,509929.5625,384687.1875,301418,513861,431693.9375,350607.71875
A2RU67,FAM234B,Homo sapiens,84119.65625,95442.625,92953.1640625,83235.3828125,122460.7421875,52998.7265625,111920.6875,115630.5,124232.796875,124056.6640625,120093.3671875,157552.390625,184075.796875,163368.4375,128515.1328125,81862.890625,160675.03125,132395.359375
A2RUC4,TYW5,Homo sapiens,218301.859375,209411.265625,244424.125,192015.921875,257765.609375,143859.453125,237072.078125,194681,232835.953125,231356.625,206456.8125,272596.6875,244882.265625,243129.171875,164241.390625,252686.359375,245783.0625,186477.875
A3KMH1,VWA8,Homo sapiens,1428353.625,1488658.25,1182083.5,1367698.375,1686439.375,1086668.75,1025149.25,960082.8125,1093954.5,977856.375,1027798.25,1346933,1758189.875,1325410,1157010.75,1704733.25,1445976.125,1103562
A3KN83,SBNO1,Homo sapiens,611732.25,641656.75,433341.75,607146.5625,691910.875,460875.59375,922858.375,822238.4375,925033.5,835524.75,899203,1217091.125,944897.3125,771145.625,689314.9375,929217.1875,804568.625,646385.8125
A4D126,CRPPA,Homo sapiens,255869.875,159054.390625,220976.375,217690.640625,287447.53125,248831.984375,85072.1484375,107005.6875,NaN,151938.359375,191845.796875,116043.8828125,190746.5,185315.390625,155123.0625,177623.9375,161451.921875,170562.453125
A4D161,FAM221A,Homo sapiens,68963.34375,82091.953125,70671.484375,30896.69921875,85399.1484375,60282.57421875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40938.4765625,NaN,NaN
A4D1E9,GTPBP10,Homo sapiens,665718.125,640732.625,430208.375,640386.5625,722261.375,494809.65625,547093.875,547190.625,590321,518310.125,531857.375,720710,779965.5,620005.4375,549303.9375,751927.4375,648858.0625,588102.625
A4D1P6,WDR91,Homo sapiens,383790.71875,473706.46875,438919.40625,387117.90625,511588.375,289835.78125,380160.40625,413452.4375,479870.78125,388745.84375,428668.375,565673.375,625560.25,442367.625,439654.6875,574977.375,462152.34375,441200.84375
A4D1S0,KLRG2,Homo sapiens,950.519287109375,1179.0828857421875,NaN,820.2783203125,1358.803466796875,773.6280517578125,1117.876220703125,1749.5008544921875,NaN,998.1619262695312,962.5,NaN,5628.27685546875,5410.5712890625,5649.81005859375,4071.335693359375,5878.48388671875,5427.681640625
A4D1S5,RAB19,Homo sapiens,62728.82421875,80755.390625,NaN,68218.8046875,68466.1015625,43495.921875,58442.90625,25114.970703125,NaN,NaN,33192.078125,35814.265625,209324.703125,189158.015625,165556.34375,220006.765625,209156.15625,165452.9375
A4D1U4,DENND11,Homo sapiens,89100.90625,122971.828125,65166.87890625,98441.5,95020.390625,52812.0390625,117016.3828125,95627.65625,124919.65625,95707.921875,89103.7421875,111605.2578125,125915.15625,76246.1875,76943.4375,116549.203125,104265.953125,97605.375
A5PLL7,PEDS1,Homo sapiens,477235.8125,511674.53125,485257.9375,470211.75,603652.875,321730.71875,351080.3125,322956.53125,429092.75,332032.5625,294010.03125,468780.5,541345.3125,410487,342886.15625,494459.3125,443499.78125,359118.5625
A5YKK6,CNOT1,Homo sapiens,3183770,3316749,2652093,2979056.5,3886019,2302866,2983969,2583066.5,3163418.5,2763410,2938959,4070638,4031628,2762746.5,2537030.75,3780491.5,3154038,2450825
A6NCE7;Q9GZQ8,MAP1LC3B2;MAP1LC3B,Homo sapiens,215820.28125,267341.5625,11809.388671875,216256.84375,277342.59375,83168.5390625,241929.8125,188407.21875,283712.875,174385.796875,264311.65625,313156.375,534947.375,310856.90625,298620.375,389217.8125,436250.84375,285636.78125
A6ND36,FAM83G,Homo sapiens,757910.375,808864.875,731393,741809.5625,919892.1875,616817.75,615752.6875,548075.125,654022,644899.375,593231.4375,857389.8125,606556.8125,408154,347775.4375,535443.625,447533.875,357403.59375
A6NDB9,PALM3,Homo sapiens,116293.296875,156205.796875,148772.953125,126685.2421875,133417.1875,108184.0625,33339.8671875,27758.619140625,48105.6875,45667.83984375,28310.884765625,49209.84765625,70857.6953125,59898.0703125,54592.91796875,64240.41015625,68914.4375,69214.515625
A6NDG6,PGP,Homo sapiens,4939965,5316088,4579309.5,4792178.5,6042175.5,3958623.25,3469797.5,3307765.25,2935447.25,3402990,3590254.25,4400189,6536085.5,4684798,4250244,6451112.5,5433923,3784227
A6NDU8,RIMOC1,Homo sapiens,601539.0625,559771.3125,582566.4375,524958.625,668001.625,483711.09375,424057.25,334687.5,663535.0625,405485.9375,379428.0625,687538.6875,642189.9375,451291.75,284229.59375,690130.625,465602.9375,336164.53125
A6NED2,RCCD1,Homo sapiens,96941.6796875,89530,80300.203125,95138.640625,107114.046875,58156.4765625,67918.1640625,70652.625,69030.6875,76563.203125,74716.734375,104951.4453125,103203.5078125,85500.5625,77648.4375,106908.984375,85889.546875,76602.671875
A6NFI3,ZNF316,Homo sapiens,288245.53125,293446.875,275953.625,253768.5625,337883.71875,245782.625,153009.390625,174916.421875,161832.015625,166381.4375,165719.3125,213635.234375,261303.21875,227608.015625,238455.34375,254629,230779.671875,189859.625
A6NFY7,SDHAF1,Homo sapiens,21925.240234375,19750.830078125,23422.4453125,17849.9140625,25640.564453125,16024.4306640625,10582.31640625,10574.1708984375,12746.8984375,13511.6728515625,10934.8115234375,14015.7080078125,12860.6328125,12421.291015625,12186.763671875,11343.1357421875,11592.384765625,9748.1806640625
A6NGD5;Q9BUG6,ZSCAN5C;ZSCAN5A,Homo sapiens,475.3593444824219,NaN,NaN,378.7567443847656,1152.924072265625,1136.1195068359375,NaN,NaN,386.81878662109375,NaN,325.29083251953125,NaN,NaN,NaN,658.6331787109375,NaN,516.7362060546875,302.83343505859375
A6NGR9,MROH6,Homo sapiens,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,161742.21875,120800.5078125,107832,154680.671875,126258.3828125,100478.84375
A6NHL2,TUBAL3,Homo sapiens,1363487.25,2007625.875,2044301.5,1711309.625,1564538.625,799375.8125,1186102.125,1224577.75,846437.8125,887909.0625,1565254.75,1281135.25,1087748.375,330375.8125,1269208.5,589257.9375,1200461.75,1392549.875
A6NHR9,SMCHD1,Homo sapiens,795212.1875,788053.75,608756.5625,746611.9375,877703.0625,638277.8125,954043.875,836328.75,980265,883029.8125,1015845.0625,1197275.875,1237352.125,899521.4375,849939.4375,1267042.25,1059787.625,790326
A6NHX0,CASTOR2,Homo sapiens,119864.375,146413.4375,159059.65625,124766.6875,130861.6484375,130751.203125,113211.9921875,112901.59375,138015.671875,104119.40625,101885.609375,145485.46875,52047.08984375,65800.15625,47998.00390625,73728.6484375,74488.6953125,67985.734375
A6NIH7,UNC119B,Homo sapiens,685886.75,738684.3125,457523.4375,728359.8125,821640.5,535613.375,387236.53125,316569.5625,377912.15625,373817.9375,420321.25,494352.21875,617042.5,441975.25,384109.375,576219.25,535474.5625,335458.1875
A6NJ78,METTL15,Homo sapiens,111972.2578125,115514.90625,117236.8984375,99261.9296875,137464.21875,91210.6015625,127091.7734375,144370.765625,151091.671875,127521.171875,130039.1015625,190002.625,197920.1875,153098.546875,155347.734375,186161.78125,159652.9375,130755.53125
A6NK58,LIPT2,Homo sapiens,56506.9609375,47620.671875,NaN,54605.57421875,NaN,NaN,71746.1015625,84080.0390625,75238.0703125,68394.4375,48770.26171875,40150.546875,71524.484375,73531.2421875,74207.984375,104249.1328125,73811.8046875,45994.6796875
A6NKD9,CCDC85C,Homo sapiens,146889.453125,198177.453125,145742.375,165838.546875,206856.375,145556.765625,173805.234375,181936.71875,203552.609375,213536.46875,214969.953125,206853.421875,282320.78125,172999.765625,147542.828125,244780.640625,186517.25,162056.671875
A6NKF1,SAC3D1,Homo sapiens,491746.3125,511785.65625,393539.0625,512413.65625,512804.09375,357824.03125,414962.96875,385325.0625,328370.78125,354702.28125,396568.46875,417787.46875,439787.9375,355882.96875,346350.28125,414880.9375,327485.84375,257741.875
A6NKT7,RGPD3,Homo sapiens,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A6NNY8,USP27X,Homo sapiens,4649.32568359375,2384.8515625,4254.697265625,4114.1533203125,6231.94921875,3527.523193359375,5141.1630859375,5529.73193359375,4875.61474609375,5171.302734375,3785.505126953125,NaN,5327.775390625,6822.41015625,5211.9892578125,6224.0322265625,6392.74462890625,4950.05126953125
A7E2V4,ZSWIM8,Homo sapiens,147010.828125,147945.28125,142932.25,141532.9375,179937.53125,107379.6875,178223.65625,159061.375,221441.1875,161434.359375,172298.28125,249627.453125,293802.5625,236997.5,188456.796875,298093.46875,254793.84375,201428.90625
A8CG34,POM121C,Homo sapiens,181273.078125,237106.0625,105444.265625,201654.078125,189804.453125,212502.703125,163742.671875,130843.3359375,169647.328125,160396.65625,157963.3125,143791.171875,280801.34375,216905.3125,207984.171875,265941,258723.84375,178454.4375
A8MTT3,CEBPZOS,Homo sapiens,9241.4453125,9003.2734375,NaN,9290.3544921875,12254.67578125,6170.81005859375,5006.58837890625,NaN,4058.17431640625,8345.7841796875,4508.00146484375,7553.4013671875,8751.359375,4353.90380859375,7731.42431640625,7624.30419921875,7027.46826171875,6138.302734375
A8MW92,PHF20L1,Homo sapiens,254697.453125,NaN,159615.90625,145774.5,232652.15625,153047.75,182871.21875,185579.8125,188243.109375,141459.4375,166800.109375,223045.75,138856.0625,206847.703125,174607.078125,205297.484375,181378.46875,92581.09375
A8MWD9;P62308,SNRPGP15;SNRPG,Homo sapiens,10307038,10444238,4482433.5,8593355,9831766,4261880.5,7927859,5625169.5,7210757,7666762,7248462.5,8628859,10957957,7692939.5,6428848.5,12060615,9431369,5944123
A8MWL7;Q9NUH8,TMEM14DP;TMEM14B,Homo sapiens,NaN,NaN,NaN,NaN,8263.6494140625,NaN,NaN,NaN,19793.228515625,NaN,NaN,20952.87109375,NaN,13315.552734375,16639.91015625,NaN,NaN,24689.92578125
A8MXV4,NUDT19,Homo sapiens,345151.125,337709.875,249823.65625,273378.46875,383974.34375,275973.78125,333484,311008.53125,389083,358566.90625,330765.03125,499873.375,330374.34375,263175.84375,205113.21875,370288,286090.03125,221564.296875
A8MYZ6,FOXO6,Homo sapiens,NaN,NaN,NaN,871.8570556640625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4012.56982421875,2682.17138671875,2218.57861328125,NaN,NaN,NaN
A9UHW6,MIF4GD,Homo sapiens,166881.015625,165967.1875,117199.3984375,115576.515625,178435.265625,121851.8125,139077.578125,110874.046875,140310.796875,134040.8125,124968.75,175844.296875,225419.53125,158225.96875,119421.4140625,222248.5,162076.109375,116845.390625
B0FP48;E5RIL1,UPK3BL1;UPK3BL2,Homo sapiens,29384.14453125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30646.140625,39762.5,38642.3671875,NaN,40207.1953125,34983.65234375
B0YJ81,HACD1,Homo sapiens,27163.19921875,29226.494140625,24605.248046875,25400.275390625,30679.798828125,27435.58203125,NaN,NaN,NaN,NaN,NaN,NaN,8270.9375,12581.9814453125,10602.2412109375,10249.5517578125,15764.24609375,16042.2197265625
B1AK53,ESPN,Homo sapiens,157853.625,183427.546875,NaN,82826.875,97217.8984375,49333.53125,217118.78125,182648.09375,298422.28125,220191.96875,200813.65625,338574.5,741414.875,617967.6875,379913.71875,856570.4375,524119.84375,431034.84375
B2RBV5,,Homo sapiens,67743.0390625,104835.4765625,76821.03125,93632.8359375,98107.3671875,90672.9765625,41356.3125,51829.203125,58547.34375,58943.96875,57378.296875,72291.28125,45040.203125,35098.7265625,26704.548828125,43189.32421875,43004.1328125,33968.53515625
B2RPK0,HMGB1P1,Homo sapiens,NaN,NaN,NaN,42208.98046875,NaN,36690.0078125,NaN,NaN,41011.70703125,NaN,NaN,NaN,NaN,NaN,35828.01953125,55931.84765625,NaN,33269.4921875
B2RTY4,MYO9A,Homo sapiens,78612.0703125,92061.6171875,86648.984375,89468.3046875,80323.296875,60246.13671875,62284.078125,75004.0625,75087.5390625,66688.3359375,78402.6875,103481.328125,126508.046875,103869.3046875,90275.5390625,128379.140625,119675.6484375,104073.0859375
B3EWF7,EPM2A,Homo sapiens,156550.328125,187719.28125,123748.171875,211138.09375,235864.25,139059.65625,107181.15625,154145.890625,72583.3046875,130535.296875,128597.796875,107242.625,210075.171875,140314.96875,148771.625,163752.765625,161248.921875,113084.3125
B4DXR9,ZNF732,Homo sapiens,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B7Z6K7,ZNF814,Homo sapiens,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B7ZAQ6;P0CG08,GPR89A;GPR89B,Homo sapiens,1561682.75,1786041.25,1213841.375,1569177.125,2003691.625,1236220.125,1132866.5,1124396.375,1353803.875,1121745.125,1267769.875,1747052.75,1172153.875,769625.5625,811806.875,906783.0625,962139.875,725809.25
B7ZW38;O60812;P0DMR1,HNRNPCL3;HNRNPCL1;HNRNPCL4,Homo sapiens,NaN,49093.34375,226426.9375,45206.6328125,NaN,119069.640625,NaN,NaN,50765.06640625,56407.17578125,NaN,NaN,85176.78125,72943.8046875,52593.7109375,93883.84375,101559.640625,27527.14453125
B9A064,IGLL5,Homo sapiens,149422.5625,196696.09375,232994.0625,221850.84375,112006.796875,136043.46875,490026.875,409404.28125,657078.875,629437.75,719240.25,887304.25,139922.703125,165590.453125,78189.296875,289783,279961.53125,162883.671875
C4AMC7;Q6VEQ5,WASH3P;WASH2P,Homo sapiens,909810.6875,1333352.75,1054200,1092913.5,1465634.625,1203426.75,881858.875,1022829.125,1202429.375,1082527.25,1093197.25,773548.25,1151591.125,1079875.625,335395.90625,1105766.375,941316.6875,544448.25
C9JI98,TMEM238,Homo sapiens,307374.96875,297642.53125,312717.21875,297978.875,364058.3125,233942.5625,204652.28125,223279.1875,175289.796875,198517.125,201626.578125,247469.109375,417224.75,255329.890625,209160.078125,305295.75,229384.34375,189101.265625
C9JLW8,MCRIP1,Homo sapiens,204695.59375,193688.3125,210332.421875,199649.21875,183697.5,155650.875,127948.34375,NaN,103777.0546875,99572.3125,138239.5625,157376.703125,161583.59375,126845.9765625,116864.953125,142897.734375,NaN,103733.0703125
E0CX11;Q5SZL2,STMP1;CEP85L,Homo sapiens,3233.7646484375,2294.92578125,1600.33349609375,2277.47412109375,2654.859130859375,1713.20703125,NaN,NaN,2766.677734375,NaN,1600.7467041015625,2718.67529296875,NaN,NaN,731.8041381835938,2810.499755859375,1388.1221923828125,NaN
E7ERA6,RNF223,Homo sapiens,28125.89453125,35777.69921875,NaN,49603.3046875,49885.66796875,45132.19921875,25603.880859375,25005.84375,NaN,25323.591796875,27291.630859375,NaN,198593.4375,160064.1875,197425.609375,175153.90625,182245.171875,137152.9375
E9PAV3,NACA,Homo sapiens,20044792,22343374,18125952,20693936,24661822,18721166,17708194,17218672,19203042,17319484,19150550,23111690,28369010,22516062,19415256,26297954,25226744,19304640
E9PRG8,C11orf98,Homo sapiens,792862.6875,1133287.75,4536899,978518.4375,1482942,833668.6875,753729.375,685873.25,546702.625,631877.5625,555001.5,887591.6875,865939.3125,640329,564745.3125,973867.8125,843304.75,556554.125
G9CGD6;Q6P9H4,CNK3/IPCEF1;CNKSR3,Homo sapiens,NaN,NaN,NaN,NaN,1389.336669921875,NaN,2384.534912109375,1766.9224853515625,3663.26220703125,2810.926025390625,2354.40380859375,3462.4697265625,3855.54150390625,4439.662109375,3244.56787109375,3330.44580078125,5831.9404296875,4720.4306640625
L0R819,ASDURF,Homo sapiens,185775.96875,217202.59375,193534.515625,206238.890625,231586.3125,206737.015625,164598.28125,172421.671875,144430.515625,177689.4375,197520.34375,186644.734375,326773.3125,203944.296875,206508.09375,327792.125,260022.109375,186492.078125
O00115,DNASE2,Homo sapiens,1385438.75,1626507.75,1206741.25,1422998.25,1502415.375,558295.0625,974794.6875,967177.375,675262.75,882505.875,962210.9375,1116352.5,1479682,1072465.375,1009329.5,1416301.625,1248292.5,679479.125
O00124,UBXN8,Homo sapiens,8430.8994140625,8737.1220703125,NaN,7488.17431640625,13238.66015625,NaN,19199.44140625,22644.3359375,NaN,25212.744140625,22733.345703125,25597.712890625,25922.904296875,14495.283203125,22183.62890625,22881.865234375,28118.169921875,23067.705078125
O00139,KIF2A,Homo sapiens,1328331.875,1369786.5,1115965.75,1311580.75,1647250.75,1091661.375,1330954.5,1294070.75,1433430.125,1250887.875,1273553.25,1798473.625,2388874.5,1684568.875,1581596.625,2187161.25,1943251,1448234.125
O00148,DDX39A,Homo sapiens,6693777.5,6581775,4660440,5745987,7278912,3754291.5,5142549.5,5043283.5,4149824,4936069,5176037,6226335.5,5495833.5,5181325.5,4449935,5770715,4794084,4533040.5
O00151,PDLIM1,Homo sapiens,863029.625,1012941.1875,594256.5625,961718.75,1055813.75,723036.4375,370237.34375,360537.25,338021.59375,398796.46875,391058.40625,436953.90625,1074088.5,852681.6875,793331.8125,1162126.25,966937.625,731089.5625
O00154,ACOT7,Homo sapiens,7237646.5,7239846,5519854,6964461,9380039,4946792,4916461,4009472,4686894.5,4480982.5,4833845,6916168,10864095,7126530.5,5927170,10212124,7962061.5,5245601
O00159,MYO1C,Homo sapiens,4616642,4681801,3624618.75,4401720,5373680.5,3495488.75,4285205.5,3976428.5,4476342,3954935.5,4368920.5,5866482,7327835.5,5571385.5,5257819.5,7017428,6096360.5,4860571.5
O00161,SNAP23,Homo sapiens,213903.5,179601.4375,301533.46875,190896.421875,200182.515625,182671.6875,113686.6875,110488.5,181924.15625,119607.9296875,127400.453125,186037.515625,235398.375,176291.734375,171395.203125,218000.015625,223121.609375,166547.1875
O00165,HAX1,Homo sapiens,1172339.625,1267283.5,1176324,1227120.125,1528890.125,1003034.25,1028173.1875,1021238.875,1204683.375,1121964.625,1178437.25,1539285.375,1543680.25,1039136.9375,867597.3125,1449686.25,1148278.75,830596.1875
